date;mesocosm_ID;fish;warming;compartment;class;order;taxa;N_l;C_mug_l;tmean15;date_c
20/04/2021;13;LB;W;phyto;chlorophyceae;NA;monoraphidium sp;3570.90909090909;0.00244964363636364;16.6737272516786;28
20/04/2021;13;LB;W;phyto;chlorophyceae;NA;oocystis sp;32138.1818181818;1.02306545454545;16.6737272516786;28
20/04/2021;13;LB;W;phyto;chrysophyceae;NA;mallomonas sp;7141.81818181818;5.89358905454545;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cryptophyceae;NA;cryptomonas sp;3570.90909090909;0.0674901818181818;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyanophyceae;NA;chroococcus sp;7141.81818181818;0.941827272727273;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyanophyceae;NA;merismopedia sp;28567.2727272727;0.231609163636364;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyanophyceae;NA;microcystis sp (col);643395687.272727;9264.89789672727;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyanophyceae;NA;oscillatoria sp (col);42850.9090909091;0.404941090909091;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyanophyceae;NA;synechococcus sp;60065666.6666667;578.042025;16.6737272516786;28
20/04/2021;13;LB;W;phyto;cyst;NA;cyst;3570.90909090909;4.91301027636364;16.6737272516786;28
20/04/2021;13;LB;W;phyto;dinophyceae;NA;peridinium sp;114269.090909091;38.2304348290909;16.6737272516786;28
20/04/2021;13;LB;W;phyto;zygnematophyceae;NA;cosmarium sp;42850.9090909091;12.25716688;16.6737272516786;28
20/04/2021;14;SB;NW;phyto;bacillariophyceae;NA;achnanthes sp;21425.4545454545;0.404941090909091;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;bacillariophyceae;NA;fragilaria sp;3570.90909090909;0.0378516363636364;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;chlorophyceae;NA;chlorella sp;196400;0.5401;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;chlorophyceae;NA;filamentous algae (col);114269.090909091;3.56983781818182;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;chlorophyceae;NA;monoraphidium sp;7141.81818181818;0.0232823272727273;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;chlorophyceae;NA;oocystis sp;124981.818181818;2.23360363636364;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;chlorophyceae;NA;tetraspora sp;3570.90909090909;0.0330666181818182;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;cryptophyceae;NA;cryptomonas sp;3570.90909090909;0.212112;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;cyanophyceae;NA;chroococcus sp;39280;1.43229163636364;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;cyanophyceae;NA;microcystis sp (col);28163760;405.558144;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;cyanophyceae;NA;synechococcus sp;86334166.6666667;1232.30116166667;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;cyst;NA;cyst;3570.90909090909;11.6456522690909;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;dinophyceae;NA;peridinium sp;92843.6363636364;14.1878253018182;13.2635038203288;28
20/04/2021;14;SB;NW;phyto;zygnematophyceae;NA;cosmarium sp;10712.7272727273;0.532065454545455;13.2635038203288;28
20/04/2021;15;SB;W;phyto;bacillariophyceae;NA;achnanthes sp;46421.8181818182;0.719181090909091;16.7694672377865;28
20/04/2021;15;SB;W;phyto;bacillariophyceae;NA;fragilaria sp;7141.81818181818;0.0694898909090909;16.7694672377865;28
20/04/2021;15;SB;W;phyto;chlorophyceae;NA;chlorella sp;167832.727272727;0.46154;16.7694672377865;28
20/04/2021;15;SB;W;phyto;chlorophyceae;NA;filamentous algae (col);117840;2.168256;16.7694672377865;28
20/04/2021;15;SB;W;phyto;chlorophyceae;NA;monoraphidium sp;66939666.6666667;54.8205591666667;16.7694672377865;28
20/04/2021;15;SB;W;phyto;chlorophyceae;NA;oocystis sp;99985.4545454545;1.77367054545455;16.7694672377865;28
20/04/2021;15;SB;W;phyto;cryptophyceae;NA;cryptomonas sp;3570.90909090909;0.212112;16.7694672377865;28
20/04/2021;15;SB;W;phyto;cyanophyceae;NA;chroococcus sp;10712.7272727273;0.198542545454545;16.7694672377865;28
20/04/2021;15;SB;W;phyto;cyanophyceae;NA;microcystis sp (col);29199323.6363636;420.470260363636;16.7694672377865;28
20/04/2021;15;SB;W;phyto;cyanophyceae;NA;synechococcus sp;48118000;659.542296666667;16.7694672377865;28
20/04/2021;15;SB;W;phyto;dinophyceae;NA;peridinium sp;335665.454545455;133.89797824;16.7694672377865;28
20/04/2021;15;SB;W;phyto;zygnematophyceae;NA;actinotaenium subglobosum;24996.3636363636;0.633479272727273;16.7694672377865;28
20/04/2021;15;SB;W;phyto;zygnematophyceae;NA;cosmarium sp;49992.7272727273;9.28195327272727;16.7694672377865;28
20/04/2021;15;SB;W;phyto;zygnematophyceae;NA;spiral desmid;3570.90909090909;0.700894465454545;16.7694672377865;28
20/04/2021;16;NF;W;phyto;bacillariophyceae;NA;achnanthes sp;35709.0909090909;0.521709818181818;16.9147751794397;28
20/04/2021;16;NF;W;phyto;bacillariophyceae;NA;fragilaria sp;121410.909090909;1.11776596363636;16.9147751794397;28
20/04/2021;16;NF;W;phyto;chlorophyceae;NA;filamentous algae (col);35709.0909090909;0.657047272727273;16.9147751794397;28
20/04/2021;16;NF;W;phyto;chlorophyceae;NA;monoraphidium sp;157120;0.162726327272727;16.9147751794397;28
20/04/2021;16;NF;W;phyto;chlorophyceae;NA;oocystis sp;1224821.81818182;13.1295256872727;16.9147751794397;28
20/04/2021;16;NF;W;phyto;chlorophyceae;NA;tetraspora sp;3570.90909090909;0.00982;16.9147751794397;28
20/04/2021;16;NF;W;phyto;chrysophyceae;NA;mallomonas sp;14283.6363636364;6.82362161454545;16.9147751794397;28
20/04/2021;16;NF;W;phyto;cyanophyceae;NA;chroococcus sp;128552.727272727;2.604264;16.9147751794397;28
20/04/2021;16;NF;W;phyto;cyanophyceae;NA;microcystis sp (col);603483.636363636;8.69016436363636;16.9147751794397;28
20/04/2021;16;NF;W;phyto;cyanophyceae;NA;oscillatoria sp (col);996283.636363636;9.41488036363636;16.9147751794397;28
20/04/2021;16;NF;W;phyto;cyanophyceae;NA;planktolyngbia sp;7141.81818181818;0.290672;16.9147751794397;28
20/04/2021;16;NF;W;phyto;cyanophyceae;NA;synechococcus sp;37561500;501.586778333333;16.9147751794397;28
20/04/2021;16;NF;W;phyto;dinophyceae;NA;peridinium sp;53563.6363636364;21.6063068072727;16.9147751794397;28
20/04/2021;16;NF;W;phyto;euglenophyceae;NA;euglena sp;32138.1818181818;1.45585963636364;16.9147751794397;28
20/04/2021;16;NF;W;phyto;zygnematophyceae;NA;closterium sp;32138.1818181818;0.935935272727273;16.9147751794397;28
20/04/2021;16;NF;W;phyto;zygnematophyceae;NA;cosmarium sp;57134.5454545455;6.05050908363636;16.9147751794397;28
20/04/2021;17;LB;NW;phyto;bacillariophyceae;NA;achnanthes sp;7141.81818181818;0.111412363636364;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;chlorophyceae;NA;chlorella sp;242821.818181818;0.66776;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;chlorophyceae;NA;filamentous algae (col);385658.181818182;7.09611054545455;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;chlorophyceae;NA;oocystis sp;635621.818181818;11.1499850909091;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;chrysophyceae;NA;mallomonas sp;14283.6363636364;3.67886124363636;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;cryptophyceae;NA;cryptomonas sp;124981.818181818;6.39759430545455;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;cyanophyceae;NA;chroococcus sp;78560;1.37265745454545;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;cyanophyceae;NA;microcystis sp (col);2278240;32.806656;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;cyanophyceae;NA;synechococcus sp;136170666.666667;513.363413333333;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;dinophyceae;NA;peridinium sp;53563.6363636364;19.8859213672727;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;euglenophyceae;NA;euglena sp;3570.90909090909;0.619181352727273;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;zygnematophyceae;NA;actinotaenium subglobosum;3570.90909090909;0.094272;13.2065038203288;28
20/04/2021;17;LB;NW;phyto;zygnematophyceae;NA;cosmarium sp;64276.3636363636;7.51695289454545;13.2065038203288;28
20/04/2021;18;NF;NW;phyto;bacillariophyceae;NA;achnanthes sp;110698.181818182;1.78188363636364;13.261152350081;28
20/04/2021;18;NF;NW;phyto;bacillariophyceae;NA;fragilaria sp;17854.5454545455;0.125088945454545;13.261152350081;28
20/04/2021;18;NF;NW;phyto;chlorophyceae;NA;chlorella sp;5870574.54545454;16.14408;13.261152350081;28
20/04/2021;18;NF;NW;phyto;chlorophyceae;NA;filamentous algae (col);121410.909090909;2.23396072727273;13.261152350081;28
20/04/2021;18;NF;NW;phyto;chlorophyceae;NA;oocystis sp;496356.363636364;8.62085658909091;13.261152350081;28
